(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
40100@@http://dx.doi.org/10.1017/S1477201903001032@             Iguanodon atherfieldensis                   BMNH 40100, R.754, R.5764 R.25013, R.l11521, IRSNB 1551
R.754@@http://dx.doi.org/10.1017/S1477201903001032@             Iguanodon atherfieldensis                   BMNH 40100, R.754, R.5764 R.25013, R.l11521, IRSNB 1551
R.5764@@http://dx.doi.org/10.1017/S1477201903001032@             Iguanodon atherfieldensis                   BMNH 40100, R.754, R.5764 R.25013, R.l11521, IRSNB 1551
R.25013@@http://dx.doi.org/10.1017/S1477201903001032@             Iguanodon atherfieldensis                   BMNH 40100, R.754, R.5764 R.25013, R.l11521, IRSNB 1551
R.I11521@@http://dx.doi.org/10.1017/S1477201903001032@             Iguanodon atherfieldensis                   BMNH 40100, R.754, R.5764 R.25013, R.l11521, IRSNB 1551
R507@@http://dx.doi.org/10.1080/14772019.2010.492664@      Holotype. BMNH R507, a complete skull.                          Holotype. PIU U 24, posterior portion of a well-preserved
R6850@@http://dx.doi.org/10.1080/14772019.2010.492664@      Referred specimens. AMNH 9799, BMNH R6850, BPI
QM F6471@@http://dx.doi.org/10.1080/14772019.2010.492664@             50977, an articulated postcranial skeleton, and BMNH
R.455@@http://dx.doi.org/10.1080/14772019.2010.492664@      Holotype. BMNH R. 455, partial skull and associated             holotype, returned it to Trucheosaurus, and placed it within
R.503@@http://dx.doi.org/10.1080/14772019.2010.492664@      Referred specimens. BMNH R.503, four skull fragments
26493@@http://dx.doi.org/10.1017/S147720190600201X@      (MNHN L20.069); C, Pygorhytis ringens (NHM 26493); D, Collyrites elliptica (MNHN B49317); E, disc trivium of Tithonia convexa (MNHN
E83558@@http://dx.doi.org/10.1017/S147720190600201X@      L20.157); F, Disastergranulosus (NHM E83558); G, Acrolusia gauthieri (MNHN J01258). Genital plates are shaded grey; ocular plates are
E1505@@http://dx.doi.org/10.1017/S147720190600201X@      Figure 4    Variation in apical disc structure. A, Aulacopygus caudatus (NHM E1505); B, Hyboclypus gibberulus (NHM E1571); C, Desorella elata
E1571@@http://dx.doi.org/10.1017/S147720190600201X@      Figure 4    Variation in apical disc structure. A, Aulacopygus caudatus (NHM E1505); B, Hyboclypus gibberulus (NHM E1571); C, Desorella elata
E11837@@http://dx.doi.org/10.1017/S147720190600201X@      (SM J864); D, Orbigniana ebrayi (MNHN L20.071); E, Pygomalus ovalis (NHM E11837) posterior oculars reconstructed with reference to Jesionek
E12583-12613@@http://dx.doi.org/10.1017/S147720190600201X@      Collyrites                      Collyrites bicordata                                 NHME12583-12613
E83558@@http://dx.doi.org/10.1017/S147720190600201X@      Disaster                      * Disastergranulosus                                   NHME83558andE83563
E83563@@http://dx.doi.org/10.1017/S147720190600201X@      Disaster                      * Disastergranulosus                                   NHME83558andE83563
E11832-41@@http://dx.doi.org/10.1017/S147720190600201X@      Pygomalus                     * Pygomalus ovalis                                      NHM E11832-41, E42968-71
E42968-71@@http://dx.doi.org/10.1017/S147720190600201X@      Pygomalus                     * Pygomalus ovalis                                      NHM E11832-41, E42968-71
 NHME11849-61@@http://dx.doi.org/10.1017/S147720190600201X@                                   NHME11849-61
E1550.@@http://dx.doi.org/10.1017/S147720190600201X@                                      Pseudholaster benstedi                               NHME1550, E1551
E1551@@http://dx.doi.org/10.1017/S147720190600201X@                                      Pseudholaster benstedi                               NHME1550, E1551
E11892@@http://dx.doi.org/10.1017/S147720190600201X@                                   NHM E11892, E11894-9,
E11894-9@@http://dx.doi.org/10.1017/S147720190600201X@                                   NHM E11892, E11894-9,
Ei579@@http://dx.doi.org/10.1017/S147720190600201X@      Aulacopygus                   * Aulacopygus caudatus                                *NHMEi579
E12034@@http://dx.doi.org/10.1017/S147720190600201X@                                  NHM E12034, E78974, E79072,
E78974@@http://dx.doi.org/10.1017/S147720190600201X@                                  NHM E12034, E78974, E79072,
E79072@@http://dx.doi.org/10.1017/S147720190600201X@                                  NHM E12034, E78974, E79072,
E3652@@http://dx.doi.org/10.1017/S147720190600201X@      Infraclypeus                  * Infraclypeus thalabensis                              NHM E3652, Rose & Olver 1988: fig. 3f
E43789@@http://dx.doi.org/10.1017/S147720190600201X@            five ambulacra has a maximum width under 60% of its                oval pore pairs of Hyboclypus (NHM E43789); B, circumflex pore pairs
E3287@@http://dx.doi.org/10.1017/S147720190600201X@            maximum length (Fig. 6). The apical disc is also elongate          of Collyrites (NHM E3287); C, elongate pore pairs of Pseudholaster
EE6660@@http://dx.doi.org/10.1017/S147720190600201X@            in the holasteroids, but reverts to a more compact form            (NHM EE6660). Scale bars = 1 mm.
E11894@@http://dx.doi.org/10.1017/S147720190600201X@      Figure10 Variation in phyllode structure. A, Galeropygus sublaevis (NHM E11894); B, Hyboclypus gibberulus (NHM E75834); C,Aulacopygus
E75834@@http://dx.doi.org/10.1017/S147720190600201X@      Figure10 Variation in phyllode structure. A, Galeropygus sublaevis (NHM E11894); B, Hyboclypus gibberulus (NHM E75834); C,Aulacopygus
E1579@@http://dx.doi.org/10.1017/S147720190600201X@      caudatus (NHM E1579); D, Cyclolampas voltzii (MNHN L20.069); E, Menopygus nodoti (MHNG 58-27141); F, Orbigniana ebrayi (MNHN L20.071);
E42478@@http://dx.doi.org/10.1017/S147720190600201X@      G, Pygorhytis ringens (NHM E42478). Peristome is shown in black. Scale bars = 1 mm.
E83558@@http://dx.doi.org/10.1017/S147720190600201X@      Figure 11 Variation in plastron structure within Disaster. A, protosternous plastron (NHM E83558); B, meridosternous plastron (MNHN
E1505@@http://dx.doi.org/10.1017/S147720190600201X@      Plate 1      1. Aulacopygus caudatus (NHM E1505); a, aboral surface; b, oral surface; c, posterior profile: x2.2. Desorella elata (SM J864); a,
 E78974@@http://dx.doi.org/10.1017/S147720190600201X@      E78974); a, aboral surface; b, posterior profile: x1. c, NHM E12034, oral surface: x1.5.5. Cyclolampas voltzii (MNHN L20.069); a, aboral surface;
E3652@@http://dx.doi.org/10.1017/S147720190600201X@      b, oral surface: x1. 6. Orbigniana ebrayi (MNHN L20.071); a, aboral surface; b, oral surface: x2.7. Infraclypeus thalebensis (NHM E3652); a,
E11837@@http://dx.doi.org/10.1017/S147720190600201X@      aboral surface; b, oral surface: x1. 8. Pygomalus ovalis (NHM E11837); a, aboral surface; b, oral surface, c, posterior profile: x2.
E11860@@http://dx.doi.org/10.1017/S147720190600201X@      Plate 2      1. Pygorhytis ringens (NHM E11860); a, aboral surface; b, oral surface; c, posterior profile: x2.2. Disastergranulosus (NHM E83558);
E83558@@http://dx.doi.org/10.1017/S147720190600201X@      Plate 2      1. Pygorhytis ringens (NHM E11860); a, aboral surface; b, oral surface; c, posterior profile: x2.2. Disastergranulosus (NHM E83558);
E3287@@http://dx.doi.org/10.1017/S147720190600201X@      surface; b, oral surface: x1.5.5. Proholasterauberti (MNHN J01430); a, aboral surface; b, oral surface: x1. 6. Collyrites bicordata (NHM E3287); a,
37001@@http://dx.doi.org/10.1080/14772019.2013.781067@      and the London (NHMUK 37001) but not the Ther-                      sarily evidence for its coelurosaurian affinities.
E53727@@http://dx.doi.org/10.1017/S1477201905001525@      aboral and perradial view, showing internal perradial channel. E-G, Protastergroomi, Ashgill of Girvan, Scotland, BMNH E53727: (E) oral and
E52455@@http://dx.doi.org/10.1017/S1477201905001525@      (F) aboral views of a single ambulacral and (G) arm section in oral view. H and I, Encrinastergrayae, Ashgill of Girvan, Scotland, BMNH E52455
E52414@@http://dx.doi.org/10.1017/S1477201905001525@      England, neotype BMNH E4029, oral view. B, Phragmactis grayae, Ashgill of Girvan, Scotland, holotype BMNH E52414, oral view. Scale bars
86189@@http://dx.doi.org/10.1017/S1477201905001525@      86189. B, C, Protastergroomi, Ashgill of Girvan, Scotland, BMNH           entirely the first adambulacral. Dorsally, Blake (pers. comm.)
E52385@@http://dx.doi.org/10.1017/S1477201905001525@      A, Cnemidactisgirvanensis, Ashgill of Girvan, Scotland, BMNH
E52491a,b.@@http://dx.doi.org/10.1017/S1477201905001525@      oid phylogeny, also a controversial area (Blake 1987; Gale         cimens: holotype BMNH E52414a,b. BMNH E52491a,b.
E52414a,b@@http://dx.doi.org/10.1017/S1477201905001525@      oid phylogeny, also a controversial area (Blake 1987; Gale         cimens: holotype BMNH E52414a,b. BMNH E52491a,b.
E53981,@@http://dx.doi.org/10.1017/S1477201905001525@      1987; Heddle 1995; Wada etal. 1996; Knott & Wray, 2000).           BMNH E52945, BMNH E52958(2)a,b, BMNH E53981,
E52958(2)a,b@@http://dx.doi.org/10.1017/S1477201905001525@      1987; Heddle 1995; Wada etal. 1996; Knott & Wray, 2000).           BMNH E52945, BMNH E52958(2)a,b, BMNH E53981,
E52945@@http://dx.doi.org/10.1017/S1477201905001525@      1987; Heddle 1995; Wada etal. 1996; Knott & Wray, 2000).           BMNH E52945, BMNH E52958(2)a,b, BMNH E53981,
E52764a,b,@@http://dx.doi.org/10.1017/S1477201905001525@      Blake & Guensburg (1993) claimed that the preservation of          BMNH E52385 (1), BMNH E52944, BMNH E52764a,b,
E52944@@http://dx.doi.org/10.1017/S1477201905001525@      Blake & Guensburg (1993) claimed that the preservation of          BMNH E52385 (1), BMNH E52944, BMNH E52764a,b,
 E52385@@http://dx.doi.org/10.1017/S1477201905001525@      Blake & Guensburg (1993) claimed that the preservation of          BMNH E52385 (1), BMNH E52944, BMNH E52764a,b,
E52494.@@http://dx.doi.org/10.1017/S1477201905001525@      Promopalaeaster dyeri humped over a pelecypod suggested            BMNH E52614a,b, BMNH E53776, BMNH E52494.
E53776@@http://dx.doi.org/10.1017/S1477201905001525@      Promopalaeaster dyeri humped over a pelecypod suggested            BMNH E52614a,b, BMNH E53776, BMNH E52494.
E52614a,b@@http://dx.doi.org/10.1017/S1477201905001525@      Promopalaeaster dyeri humped over a pelecypod suggested            BMNH E52614a,b, BMNH E53776, BMNH E52494.
E52414@@http://dx.doi.org/10.1017/S1477201905001525@      E52494, oral view, x2; Fig. 2, BMNH E52414 (holotype), aboral view, x2. Fig. 3 Aulactis orthopeda Spencer, BGS GSM 25342 (holotype). Caradoc,
E52494@@http://dx.doi.org/10.1017/S1477201905001525@      E52494, oral view, x2; Fig. 2, BMNH E52414 (holotype), aboral view, x2. Fig. 3 Aulactis orthopeda Spencer, BGS GSM 25342 (holotype). Caradoc,
E52642@@http://dx.doi.org/10.1017/S1477201905001525@      Ordovician of Gretton, Shropshire. Aboral view, x2.5. Fig. 4, Arcophiactisgrayae      Spencer, BMNH E52642, Girvan Starfish Bed, Ashgill, Upper
E52400.@@http://dx.doi.org/10.1017/S1477201905001525@      Ordovician, Girvan, Strathclyde, Scotland. Aboral view, x7. Figs 5,6, Stenaster obtusus (Forbes), BMNH E52400. Ashgill, Upper Ordovician of
E52413@@http://dx.doi.org/10.1017/S1477201905001525@      aboralview;x2. Figs 3,4 Furcaster trepidans (Spencer); BMNH E52413 (holotype). Ashgill, Upper Ordovician of Girvan, Ayrshire, Scotland. Fig. 3,
E52424@@http://dx.doi.org/10.1017/S1477201905001525@      aboral view; x4; Fig. 4, oral view; x4. Figs 5,6, Euzonosoma orbitoides Spencer, BMNH E52424 (holotype). Ashgill, Upper Ordovician of Girvan,
E52455@@http://dx.doi.org/10.1017/S1477201905001525@      Ayrshire, Scotland. Fig. 5, aboral view; x3; Fig. 6, oral view; x3. Figs 7,8, Encrinastergrayae (Spencer), BMNH E52455 (holotype). Ashgill, Upper
52491@@http://dx.doi.org/10.1017/S1477201905001525@      Ordovician of Girvan, Ayrshire, Scotland. Fig. 7, oral view; x2; Fig. 8, aboral view; x2. Fig. 9, Phragmactis grayae Spencer; BMNH 52491, Ashgill,
E63135@@http://dx.doi.org/10.1017/S1477201905001525@      Cambraster cannati (Miquel), BMNH E63135, Middle Cambrian, Ferrals-les-Montagnes, Montagne Noire, France. Oral view, x4. Figs 3,4,
E40299a,b.@@http://dx.doi.org/10.1017/S1477201905001525@      DIAGNOSIS.   Metataxon.                                          MATERIAL EXAMINED. BMNH E40299a,b. Holotype         (not ex-
40299@@http://dx.doi.org/10.1017/S1477201905001525@      Plate5      Figs 1,2, Palasterina antiqua (H isinger), BMNH 40299. Lower Ludlow, Silurian of Leintwardine, Hertfordshire, England. Fig. 1, oral
E5013.@@http://dx.doi.org/10.1017/S1477201905001525@      view;x4 Fig. 2, aboral view; x4. Figs 3,4, Rhopalocomapyrotechnica Salter, BMNH E5013. Lower Ludlow, Silurian of Leintwardine,
E13144@@http://dx.doi.org/10.1017/S1477201905001525@      Leintwardine, Hertfordshire, England. Fig. 5, BMNH E13938, oral view; x7.5. Fig. 6, BMNH E13144, aboral view; x7.5. All latex casts.
E13938@@http://dx.doi.org/10.1017/S1477201905001525@      Leintwardine, Hertfordshire, England. Fig. 5, BMNH E13938, oral view; x7.5. Fig. 6, BMNH E13144, aboral view; x7.5. All latex casts.
40293@@http://dx.doi.org/10.1017/S1477201905001525@      MATERIAL EXAMINED. Neotype BMNH 40293; BMNH
E5013,@@http://dx.doi.org/10.1017/S1477201905001525@      40294, BMNH 40304, BMNH 46601, BMNH E5013,
46601@@http://dx.doi.org/10.1017/S1477201905001525@      40294, BMNH 40304, BMNH 46601, BMNH E5013,
403004@@http://dx.doi.org/10.1017/S1477201905001525@      40294, BMNH 40304, BMNH 46601, BMNH E5013,
40294@@http://dx.doi.org/10.1017/S1477201905001525@      40294, BMNH 40304, BMNH 46601, BMNH E5013,
13951@@http://dx.doi.org/10.1017/S1477201905001525@      BMNH 13951; MML11003–4; BGS GSM 28823.
E40293@@http://dx.doi.org/10.1017/S1477201905001525@      relatively large overall body size, BMNH E40293 has R = 38               Outside the laterals is an extensive area of interradial
E5013b@@http://dx.doi.org/10.1017/S1477201905001525@      edge of a central ambital plate in one interradius of BMNH          locoma shows most similarity with the pentagonal asterozoan
E13144,@@http://dx.doi.org/10.1017/S1477201905001525@      distal of the two grooves shared between the large ossicle and      MATERIAL EXAMINED.   BMNH E13938; BMNH E13144,
E13938@@http://dx.doi.org/10.1017/S1477201905001525@      distal of the two grooves shared between the large ossicle and      MATERIAL EXAMINED.   BMNH E13938; BMNH E13144,
IM 1925.29.18 (S29)@@http://dx.doi.org/10.1017/S1477201905001525@      the adjacent ambulacral. The strong proximal groove prob-           BMNHE2593; IM 1925.29.18 (S29), IM 1925.29.21 (S20),
IM 1925.29.21 (S20)@@http://dx.doi.org/10.1017/S1477201905001525@      the adjacent ambulacral. The strong proximal groove prob-           BMNHE2593; IM 1925.29.18 (S29), IM 1925.29.21 (S20),
E 53769a,b@@http://dx.doi.org/10.1017/S1477201905001525@      BMNH E 53769a,b.
E53769@@http://dx.doi.org/10.1017/S1477201905001525@      ambulacral. The surface is not flush over its entire length,         Figure 17 Tribulosaster grayae gen. et sp. nov. BMNH E53769 (part
E52693a,b@@http://dx.doi.org/10.1017/S1477201905001525@                 MATERIAL EXAMINED. Holotype BMNH E52693a,b; BMNH
E53912a,b@@http://dx.doi.org/10.1017/S1477201905001525@      recognisable adambulacral ossicle articulates. There is no          E52489, BMNH E52642, E53912a,b.
E52642@@http://dx.doi.org/10.1017/S1477201905001525@      region are unclear, however, there appears to be one oblique        (BMNH E52642) has R = 8 mm, r = 2 mm. Ambulacrals
E52489@@http://dx.doi.org/10.1017/S1477201905001525@      BMNH E52489 shows the lateral surfaces of mouth angle
53121a,b@@http://dx.doi.org/10.1017/S1477201905001525@      lateral plate series can not be traced to jaw region. Presence    preserved examples include BMNH 53121a,b, BMNH
E52612a,b@@http://dx.doi.org/10.1017/S1477201905001525@      of dental plate equivocal. Madreporite ventral and interradial.   53892a,b, BMNH E52612a,b, E52400a,b, E52409a,b,
53892a,b@@http://dx.doi.org/10.1017/S1477201905001525@      of dental plate equivocal. Madreporite ventral and interradial.   53892a,b, BMNH E52612a,b, E52400a,b, E52409a,b,
E52400a,b@@http://dx.doi.org/10.1017/S1477201905001525@      of dental plate equivocal. Madreporite ventral and interradial.   53892a,b, BMNH E52612a,b, E52400a,b, E52409a,b,
E52409a,b@@http://dx.doi.org/10.1017/S1477201905001525@      of dental plate equivocal. Madreporite ventral and interradial.   53892a,b, BMNH E52612a,b, E52400a,b, E52409a,b,
E52410a,b@@http://dx.doi.org/10.1017/S1477201905001525@      Stone canal within biserially-arranged plates.                    E52410a,b. BMNH and HM both have large additional col-
E52410@@http://dx.doi.org/10.1017/S1477201905001525@               lections of Stenaster obtusus. BMNH E52410 has six arms.
E52621,@@http://dx.doi.org/10.1017/S1477201905001525@      cumorals are narrow and pointed distally, each meets its ra-         BMNH E52958(1)a,b, BMNH E52616a,b, BMNH E52621,
E52616a,b@@http://dx.doi.org/10.1017/S1477201905001525@      cumorals are narrow and pointed distally, each meets its ra-         BMNH E52958(1)a,b, BMNH E52616a,b, BMNH E52621,
E52958(1)a,b@@http://dx.doi.org/10.1017/S1477201905001525@      cumorals are narrow and pointed distally, each meets its ra-         BMNH E52958(1)a,b, BMNH E52616a,b, BMNH E52621,
E52690.@@http://dx.doi.org/10.1017/S1477201905001525@      dial neighbour distally and overlaps the adjacent ambulacral,        BMNH E52690. Other specimens: E52756, E53962. Holo-
E52756@@http://dx.doi.org/10.1017/S1477201905001525@      dial neighbour distally and overlaps the adjacent ambulacral,        BMNH E52690. Other specimens: E52756, E53962. Holo-
E53962@@http://dx.doi.org/10.1017/S1477201905001525@      dial neighbour distally and overlaps the adjacent ambulacral,        BMNH E52690. Other specimens: E52756, E53962. Holo-
E52455a,b@@http://dx.doi.org/10.1017/S1477201905001525@      MATERIAL EXAMINED. Holotype BMNH E52455a,b; well-
E52452a,b@@http://dx.doi.org/10.1017/S1477201905001525@      preserved specimens include BMNH E52452a,b, BMNH                    distal part of the ankle, immediately distal to this is the facet
E53916a,b@@http://dx.doi.org/10.1017/S1477201905001525@      E53916a,b, BMNH E59595a,b, BMNH E52452a,b; BGS                      for oral longitudinal ambulacral muscles; in Encrinaster this
E52440a,b@@http://dx.doi.org/10.1017/S1477201905001525@      ial includes holotype BMNH E52424a,b; BMNH E52440a,b;             DIAGNOSIS. Ambulacral      ossicles alternating by up to half an
 E52602a,b@@http://dx.doi.org/10.1017/S1477201905001525@      material includes paratype BMNH E52602a,b; BMNH                   spines broaden towards the tip (i.e. paddle-shaped); longitud-
E53142a,b HME4077@@http://dx.doi.org/10.1017/S1477201905001525@      E52435a,b, BMNHE53142a,b; HME4077, HME4540, HM                    inal ridge for groove spines raised and curved; adambulacral
E52426a,b@@http://dx.doi.org/10.1017/S1477201905001525@      Paratype BMNH E52426a,b is in fact a poorly-preserved
E52413a,b@@http://dx.doi.org/10.1017/S1477201905001525@      lacral groove, narrowing towards mouth. Ambulacrals al-           holotype, BMNHE52413a,b; BMNHE52933(1)a,b, BMNH
E52933(1)a,b@@http://dx.doi.org/10.1017/S1477201905001525@      lacral groove, narrowing towards mouth. Ambulacrals al-           holotype, BMNHE52413a,b; BMNHE52933(1)a,b, BMNH
E52685a,b@@http://dx.doi.org/10.1017/S1477201905001525@      ternating over the mid-line; quadrate aborally, distal and        E52685a,b; less-well preserved material includes BMNH
E52417a,b@@http://dx.doi.org/10.1017/S1477201905001525@      proximal facets developed but not prominent. Orally, am-          E52417a,b, BMNH E52586a,b, BMNH E52738a,b, BMNH
E52586a,b@@http://dx.doi.org/10.1017/S1477201905001525@      proximal facets developed but not prominent. Orally, am-          E52417a,b, BMNH E52586a,b, BMNH E52738a,b, BMNH
E52738a,b@@http://dx.doi.org/10.1017/S1477201905001525@      proximal facets developed but not prominent. Orally, am-          E52417a,b, BMNH E52586a,b, BMNH E52738a,b, BMNH
E53773a,b@@http://dx.doi.org/10.1017/S1477201905001525@      bulacrals boot-shaped with broad transverse groove crossing       E53175a,b, BMNH E53773a,b; HM 4720.
E52394@@http://dx.doi.org/10.1017/S1477201905001525@      Figure 18 Hypophiura grayae sp. nov., Ashgill, Upper Ordovician of Girvan, Scotland. A, B, E, F, BMNH E52394 (holotype), latex casts of part
E53165@@http://dx.doi.org/10.1017/S1477201905001525@      and counterpart; A, oral and B, aboral views, x2.5. E, F, detail of oral area in oral (E) and aboral (F) views. C, D, BMNH E53165 (paratype), latex
E52394a,b@@http://dx.doi.org/10.1017/S1477201905001525@      enclosure of ambulacrals occurs this is extremely distal.                   BMNH E52394a,b is selected as holotype; BMNH
 E53165a,b@@http://dx.doi.org/10.1017/S1477201905001525@            Furcaster trepidans most closely resembles Phragmac-                  E53165a,b and BMNH E52839a,b as paratypes; BMNH
 E52839a,b@@http://dx.doi.org/10.1017/S1477201905001525@            Furcaster trepidans most closely resembles Phragmac-                  E53165a,b and BMNH E52839a,b as paratypes; BMNH
E52587a,b,@@http://dx.doi.org/10.1017/S1477201905001525@      tis in possession of flattened adambulacrals and lack of cal-               E52430a,b, BMNH E52456a,b, BMNH E52587a,b,
E53951@@http://dx.doi.org/10.1017/S1477201905001525@      BMNH E52640, BMNH E52831a,b, BMNH E53951,                          verse bar the podial flange is steeply dipping. Subsequently,
E52960a,b@@http://dx.doi.org/10.1017/S1477201905001525@      BMNH E52960a,b; HM E4753, HM 4777.                                 it flattens to floor the basin then rises distally and abradially,
E52839.@@http://dx.doi.org/10.1017/S1477201905001525@      particularly well preserved in BMNH E52839. Small, over-           and a narrow, slightly oblique distal ridge rims the boot. This
E52839@@http://dx.doi.org/10.1017/S1477201905001525@      a bulbous base. Excellent preservation in BMNH E52839              slightly proximally from the head, then curving distally out-
E20235a,b@@http://dx.doi.org/10.1017/S1477201905001525@      Hallaster and Hypophiura (based on the UK material de- neotype BMNH E20235a,b (E20235b is plate 20 figure 2
E20231-2,@@http://dx.doi.org/10.1017/S1477201905001525@      scribed here) are not valid distinctions. Prokop (1985: 207) of Spencer, 1925); BMNH E13460a,b, BMNH E20231-2,
E52973a,b,@@http://dx.doi.org/10.1017/S1477201905001525@      notes that Hypophiura differs from Hallaster in having BMNH E52442a,b, BMNH E52691, BMNH E52973a,b,
OR57425@@http://dx.doi.org/10.1017/S1477201905001525@      'arms that narrow distally, only gradually... rounded at ends, BMNH E52982, BMNH OR57425; RSM 1882.65.151.B,
E13460a,b@@http://dx.doi.org/10.1017/S1477201905001525@      Hypophiura, in common with material previously referred to OCCURRENCE. BMNH E13460a,b; E52442a,b and BMNH
E52442a,b@@http://dx.doi.org/10.1017/S1477201905001525@      Hypophiura, in common with material previously referred to OCCURRENCE. BMNH E13460a,b; E52442a,b and BMNH
E13701@@http://dx.doi.org/10.1017/S1477201905001525@      lative sizes of interradial discs between species may vary:         include BMNH E13701, E53706-E53707, E53709,
E53706-E53707@@http://dx.doi.org/10.1017/S1477201905001525@      lative sizes of interradial discs between species may vary:         include BMNH E13701, E53706-E53707, E53709,
E53709@@http://dx.doi.org/10.1017/S1477201905001525@      lative sizes of interradial discs between species may vary:         include BMNH E13701, E53706-E53707, E53709,
53727@@http://dx.doi.org/10.1017/S1477201905001525@      wickii, however the holotype of Bohemura groomi (and other          region of each ambulacral ossicle. Specimen BMNH 53727
E53727@@http://dx.doi.org/10.1017/S1477201905001525@      E53727 and BMNH E53722, apparently in life position.
E53722@@http://dx.doi.org/10.1017/S1477201905001525@      E53727 and BMNH E53722, apparently in life position.
E13110a-d@@http://dx.doi.org/10.1017/S1477201905001525@           figs 1-4, text-figs 321-322.                                   MATERIAL.  BMNH E194, BMNH E13110a-d topotypes of
 E194@@http://dx.doi.org/10.1017/S1477201905001525@           figs 1-4, text-figs 321-322.                                   MATERIAL.  BMNH E194, BMNH E13110a-d topotypes of
E52461a,b.@@http://dx.doi.org/10.1017/S1477201905001525@      MATERIAL EXAMINED. Holotype is BMNH E52461a,b.                      and GSI 1443 studied from existing plates.
E52588@@http://dx.doi.org/10.1017/S1477201905001525@      Plate 6      Figs 1, 2, Promopalaeaster elizae (Spencer), BMNH E52588 (holotype). Ashgill, Upper Ordovician of Girvan, Ayrshire. Fig. 1, oral
E52645.@@http://dx.doi.org/10.1017/S1477201905001525@      view; Fig. 2, aboral view; x2.5. Figs 3,4, Girvanaster sculptus (Spencer), BMNH E52645. Ashgill, Upper Ordovician of Girvan, Scotland. Fig. 3,
E13110@@http://dx.doi.org/10.1017/S1477201905001525@      oral view; Fig. 4, apical view; x7. Figs 5,6, Petraster kinahani (Baily), BMNH E13110 (topotype). Caradoc, Ordovician of County Wexford, Ireland.
E52588a,b@@http://dx.doi.org/10.1017/S1477201905001525@      as rudimentary superomarginals, however, this is equivocal as      MATERIAL EXAMINED.  Holotype BMNH E52588a,b and 8
E52404a,b,@@http://dx.doi.org/10.1017/S1477201905001525@      true superomarginals are in direct abutting contact with infer-    other specimens: BMNH E52399a,b, BMNH E52404a,b,
E52399a,b@@http://dx.doi.org/10.1017/S1477201905001525@      true superomarginals are in direct abutting contact with infer-    other specimens: BMNH E52399a,b, BMNH E52404a,b,
E52468,@@http://dx.doi.org/10.1017/S1477201905001525@      omarginals over the entire arm length. Adradial to the inner,      BMNH E52423a,b, BMNH E52446a,b, BMNH E52468,
 E52423a,b@@http://dx.doi.org/10.1017/S1477201905001525@      omarginals over the entire arm length. Adradial to the inner,      BMNH E52423a,b, BMNH E52446a,b, BMNH E52468,
E52446a,b@@http://dx.doi.org/10.1017/S1477201905001525@      omarginals over the entire arm length. Adradial to the inner,      BMNH E52423a,b, BMNH E52446a,b, BMNH E52468,
E52627.@@http://dx.doi.org/10.1017/S1477201905001525@      postulated superomarginals are three rows of ossicles. The         BMNH E52478a,b, BMNH E52493, BMNH E52627.
E52478a,b@@http://dx.doi.org/10.1017/S1477201905001525@      postulated superomarginals are three rows of ossicles. The         BMNH E52478a,b, BMNH E52493, BMNH E52627.
 E52493,@@http://dx.doi.org/10.1017/S1477201905001525@      postulated superomarginals are three rows of ossicles. The         BMNH E52478a,b, BMNH E52493, BMNH E52627.
E52348.@@http://dx.doi.org/10.1017/S1477201905001525@      TYPE SPECIES. Platanaster ordovicus Spencer 1919 by ori-         BMNHE52348.
E52934.@@http://dx.doi.org/10.1017/S1477201905001525@      Plate 7       Figs 1,2, Urasterella thraivensis Spencer; BMNH E52934. Ashgill, Upper Ordovician of Girvan, Ayrshire. Fig. 1, aboral view; Fig. 2,
E53835.@@http://dx.doi.org/10.1017/S1477201905001525@      oral view; x3. Figs 3,4, Cnemidactisgirvanensis (Schuchert); BMNH E53835. Ashgill, Upper Ordovician of Girvan, Ayrshire. Fig. 3, aboral view;
E52441@@http://dx.doi.org/10.1017/S1477201905001525@      Fig. 4, oral view; x3. Figs 5,6, Hudsonaster primus (Spencer), BMNH E52441 (holotype). Ashgill, Upper Ordovician of Girvan, Ayrshire. Fig. 5,
E52383.@@http://dx.doi.org/10.1017/S1477201905001525@      ilar to the adjacent inferomarginals, suggesting it was spine       MATERIAL EXAMINED.      Holotype BMNH E52383. Other in-
E53835.@@http://dx.doi.org/10.1017/S1477201905001525@      bearing.   formative material includes BMNH E52590, BMNH E53 835
E52590@@http://dx.doi.org/10.1017/S1477201905001525@      bearing.   formative material includes BMNH E52590, BMNH E53 835
E2589@@http://dx.doi.org/10.1017/S1477201905001525@                 and BMNH E 52589 amongst about 40 specimens.
E52590@@http://dx.doi.org/10.1017/S1477201905001525@      ded interradial ridge, which is poorly preserved but in the         arm regions. BMNH E52590 has one complete arm section
E52485@@http://dx.doi.org/10.1017/S1477201905001525@      Schuchert, (1915: pl. 30, fig. 6), reproduced in Spencer & type BMNH E52485 (Owen 1965), is found in the Ashgill
